material_id,oun,transaction_count,median_unit_price,minimum_unit_price,maximum_unit_price,average_unit_price,spend,price_spread_pct,review_flag
7100100.0,KG,136,24.31,19.38,127.0,29.03154411764706,2119643360.55,4.426984779925957,Review
910010.0,KG,2555,17.65,2.25,131.58,19.03248532289628,1093782092.69,7.327478753541078,Review
910070.0,TO,2130,38100.0,6413.03,39750.0,37573.95489671362,1041177465.28,0.8749860892388451,Review
910860.0,KG,1985,17.05,2.0,160.0,17.219758186397986,611206330.01,9.266862170087975,Review
910000.0,TO,2672,36309.555,9780.0,39000.0,35946.05687125748,542905344.06,0.8047468496928701,Review
910420.0,KG,6526,20.3,1.8,30.0,20.208299111247317,396208137.27,1.3891625615763545,Review
7101190.0,KG,19,29.92,27.31,200.0,64.74894736842106,313961833.95,5.771724598930481,Review
910000.0,KG,223,15.14,6.42,31.78,17.89578475336323,100808872.83,1.6750330250990753,Review
920090.0,KG,21,153.36882,22.0,180.0,126.31625714285714,62916448.0,1.030196359338228,Review
940730.0,TO,1621,3300.0,1800.0,4000.0,3070.1326341764343,59653133.65,0.6666666666666666,Review
7200980.0,EA,10,0.01,0.01,2700.0,540.008,55350132.690000005,269999.0,Review
940730.0,L,304,69.7,42.6299,79.17,68.51002220394737,31331864.04,0.524248206599713,Review
920110.0,KG,9,151.0,124.15,925.0,416.3644444444445,29784375.0,5.30364238410596,Review
814370.0,EA,15,152.0,52.75,250000.0,31140.387333333332,28143202.67,1644.389802631579,Review
7200250.0,KG,193,50.0,31.48,175.0,76.12746113989637,27153816.11,2.8704,Review
7201350.0,EA,117,15.19,15.07,23.52,16.402649572649572,21005984.32,0.5562870309414087,Review
920060.0,KG,11,465.0,5.5,3000.0,1263.364090909091,20397545.0,6.439784946236559,Review
7100060.0,DOS,362,0.22,0.102,3.0,0.34168508287292815,18344571.0,13.172727272727274,Review
817500.0,KG,19,64.5,55.0,105.0,69.70526315789475,18332264.75,0.7751937984496124,Review
920050.0,KG,11,76.0,1.28,105.08,56.25,16557000.0,1.3657894736842104,Review
7100320.0,KG,95,23.5,19.0,440.0,28.279999999999998,14829216.5,17.914893617021278,Review
7400000.0,KG,67,47.94685714285715,0.95,178.8235294117647,49.77753486160529,14480771.459999999,3.709805814420587,Review
969770.0,EA,9,8900.0,0.95,364800.0,67257.40444444444,14246480.0,40.988657303370786,Review
951150.0,EA,87,68.0,0.79,68.0,55.04379310344828,13600804.45,0.9883823529411764,Review
7100070.0,DOS,60,0.087,0.051,5.5,0.9763000000000001,13095440.0,62.63218390804598,Review
