material_id,description_count,uom_count,material_group_count,line_count,spend,issue_flag
7101320.0,3,1,1,20109,5197636923.88,True
7101330.0,5,2,2,182,3170411555.95,True
7100110.0,8,1,1,206,2535716402.55,True
7100100.0,4,1,2,136,2119643360.55,True
910970.0,2,1,1,2970,1383677845.02,True
910010.0,6,1,1,2555,1093782092.69,True
910000.0,4,2,2,2895,643714216.89,True
910860.0,8,2,2,1999,611220839.01,True
910420.0,3,1,1,6526,396208137.27,True
7101190.0,4,3,2,21,313983855.45,True
7101580.0,2,2,2,15,191511900.75,True
940730.0,4,2,2,1925,90984997.69,True
7101600.0,3,3,3,24,85589645.0,True
8800000.0,2,1,2,46,68533700.0,True
7400000.0,7,4,2,526,63530758.86,True
7101310.0,4,1,1,145,63441960.15,True
920090.0,3,1,2,21,62916448.0,True
7200980.0,5,2,2,17,56720986.940000005,True
7101910.0,2,2,2,63,47006754.0,True
920110.0,5,1,3,9,29784375.0,True
7101790.0,2,2,2,46,29713379.98,True
814370.0,4,1,2,15,28143202.67,True
7200250.0,4,2,1,386,27153816.11,True
921010.0,2,1,2,3,23786250.0,True
920060.0,3,1,3,11,20397545.0,True
910610.0,3,2,2,49,19568225.0,True
7100060.0,5,1,3,362,18344571.0,True
817500.0,6,1,1,19,18332264.75,True
7100320.0,5,3,5,216,17668972.9,True
920050.0,2,1,2,11,16557000.0,True
950950.0,2,1,1,15,15652180.0,True
969840.0,4,2,3,4,14514125.5,True
969770.0,10,2,2,10,14246800.0,True
951150.0,5,1,1,87,13600804.45,True
7100070.0,6,1,2,60,13095440.0,True
950550.0,5,1,1,11,12732540.6,True
920120.0,2,1,2,22,12684291.35,True
910670.0,4,2,2,29,12381881.2,True
921430.0,3,1,3,6,11917050.0,True
7101950.0,6,3,4,95,11894992.0,True
7200260.0,2,2,1,60,11866186.51,True
950050.0,6,1,1,68,11709050.5,True
920130.0,3,1,2,13,11594100.0,True
950010.0,6,2,1,44,10957849.9,True
7101570.0,4,2,3,176,10776810.28,True
7200150.0,9,1,1,39,10233538.3,True
969820.0,5,1,1,5,10114600.0,True
969830.0,8,1,1,8,9769000.0,True
7101480.0,2,1,1,387,9462120.62,True
969780.0,7,1,5,9,9194990.0,True
910520.0,3,2,1,10,9179561.36,True
920240.0,2,1,2,5,9108832.4,True
7100020.0,5,3,3,212,8879050.0,True
951560.0,2,1,1,6,8792800.0,True
7100080.0,6,3,2,98,8322590.0,True
940010.0,7,2,3,20,8214730.3,True
921030.0,2,1,2,4,8140800.0,True
818630.0,4,1,4,16,8100910.33,True
921580.0,3,1,3,7,7402250.0,True
7100120.0,4,1,1,322,7256448.5,True
7101980.0,3,3,2,7,7106790.0,True
818740.0,8,2,3,35,7096092.55,True
7100030.0,5,2,1,196,6927669.5,True
7300020.0,2,1,1,15,6874040.0,True
7504080.0,10,1,1,10,6787152.6,True
802340.0,4,1,1,31,6558417.4,True
950560.0,3,1,1,7,6406695.0,True
